Date,CPI,Unemployment Rate,GDP
01/04/1951,0.001545595,3.1,0.024077381
01/05/1951,0.002700617,3,
01/06/1951,-0.00230858,3.2,
01/07/1951,-0.000771307,3.1,0.021200849
01/08/1951,-0.001929757,3.1,
01/09/1951,0.006573859,3.3,
01/10/1951,0.004994237,3.5,0.013640309
01/11/1951,0.006116208,3.5,
01/12/1951,0.005699088,3.1,
01/01/1952,-0.000755572,3.2,0.010225224
01/02/1952,-0.001512287,3.1,
01/03/1952,-0.000757289,2.9,
01/04/1952,0.00265252,2.9,0.003362793
01/05/1952,0.000377929,3,
01/06/1952,0.002266717,3,
01/07/1952,0.005653977,3.2,0.018477689
01/08/1952,0.000374813,3.4,
01/09/1952,-0.002248033,3.1,
01/10/1952,0.002253098,3,0.035656688
01/11/1952,0,2.8,
01/12/1952,0.000749344,2.7,
01/01/1953,-0.002620741,2.9,0.018822936
01/02/1953,-0.001876877,2.6,
01/03/1953,0.001504325,2.6,
01/04/1953,0.002253098,2.7,0.009714418
01/05/1953,0.000374672,2.5,
01/06/1953,0.002621723,2.5,
01/07/1953,0.000747105,2.6,-0.001475435
01/08/1953,0.002239642,2.7,
01/09/1953,0.001489758,2.9,
01/10/1953,0.002231313,3.1,-0.013295975
01/11/1953,-0.003710575,3.5,
01/12/1953,0.000744879,4.5,
01/01/1954,0.002605136,4.9,-0.001619297
01/02/1954,0.001855976,5.2,
01/03/1954,-0.002223046,5.7,
01/04/1954,-0.002599332,5.9,0.00201378
01/05/1954,0.002606106,5.9,
01/06/1954,0.000371333,5.6,
01/07/1954,-0.002969562,5.8,0.012625576
01/08/1954,-0.000372301,6,
01/09/1954,-0.001489758,6.1,
01/10/1954,-0.003356956,5.7,0.022348055
01/11/1954,0.002245509,5.3,
01/12/1954,-0.000373413,5,
01/01/1955,0,4.9,0.033369691
01/02/1955,0.001867762,4.7,
01/03/1955,-0.001118568,4.6,
01/04/1955,0,4.7,0.020478221
01/05/1955,-0.000746547,4.3,
01/06/1955,-0.002241315,4.2,
01/07/1955,0.001871958,4,0.020612907
01/08/1955,-0.001494768,4.2,
01/09/1955,0.004865269,4.1,
01/10/1955,-0.001117318,4.3,0.015970861
01/11/1955,0.002237136,4.2,
01/12/1955,-0.000372024,4.2,
01/01/1956,-0.001488649,4,0.006071948
01/02/1956,0.001118151,3.9,
01/03/1956,0.001116902,4.2,
01/04/1956,0.001487542,4,0.014244587
01/05/1956,0.003713331,4.3,
01/06/1956,0.004439512,4.3,
01/07/1956,0.005156538,4.4,0.011616331
01/08/1956,0.000732869,4.1,
01/09/1956,0.001464665,3.9,
01/10/1956,0.005850091,3.9,0.020550055
01/11/1956,0,4.3,
01/12/1956,0.00436205,4.2,
01/01/1957,0.001447702,4.2,0.02023181
01/02/1957,0.004698229,3.9,
01/03/1957,0.002158273,3.7,
01/04/1957,0.002512563,3.9,0.004780971
01/05/1957,0.002506266,4.1,
01/06/1957,0.003928571,4.3,
01/07/1957,0.002845962,4.2,0.01581484
01/08/1957,0.003192621,4.1,
01/09/1957,0.001414427,4.4,
01/10/1957,0,4.5,-0.009647751
01/11/1957,0.003177966,5.1,
01/12/1957,0.002111932,5.2,
01/01/1958,0.005971198,5.8,-0.015423363
01/02/1958,0.002094972,6.4,
01/03/1958,0.005923345,6.7,
01/04/1958,0.002424662,7.4,0.009492236
01/05/1958,0,7.4,
01/06/1958,-0.001036628,7.3,
01/07/1958,-0.000691802,7.5,0.029372132
01/08/1958,0.001730703,7.4,
01/09/1958,-0.001036628,7.1,
01/10/1958,0,6.7,0.028227342
01/11/1958,0.001383604,6.2,
01/12/1958,0.000690846,6.2,
01/01/1959,0.001380739,6,0.021569197
01/02/1959,-0.000344709,5.9,
01/03/1959,-0.001034483,5.6,
01/04/1959,0.000345185,5.2,0.02414712
01/05/1959,0.002070393,5.1,
01/06/1959,0.002410468,5,
