,price_drop,period_thresh,increase_thresh,num_imploded,avg_imp_len,imp_per_stock
0,-0.6,78,0.0,811,-2410.7977805178793,2.844636251541307
1,-0.6,78,0.2,811,-2410.7977805178793,2.844636251541307
2,-0.6,104,0.0,747,-2624.289156626506,2.8366800535475236
3,-0.6,104,0.2,747,-2624.289156626506,2.8366800535475236
4,-0.8,78,0.0,237,-2492.974683544304,1.8987341772151898
5,-0.8,78,0.2,237,-2492.974683544304,1.8987341772151898
6,-0.8,104,0.0,210,-2752.3285714285716,1.9428571428571428
7,-0.8,104,0.2,210,-2752.3285714285716,1.9428571428571428
