Ticker,date,ff_accr_exp,ff_assets_com_eq,ff_assets_eq,Implosion_Next_Year,CPI,Unemployment Rate,GDP
AAON-US,2021-12-31,34.857,1.43202265268035,1.43202265268035,0,,,
AAON-US,2022-12-31,47.892,1.50751006752105,1.50751006752105,0,,,
AAP-US,2019-12-31,311.163,3.16941906933091,3.16941906933091,0,,,
AAP-US,2020-12-31,414.803,3.32619639995595,3.32619639995595,0,,,
AAP-US,2021-12-31,597.878,3.89804177424671,3.89804177424671,0,,,
AAP-US,2022-12-31,446.471,4.4873864990268,4.4873864990268,0,,,
AAPL-US,2019-09-30,36120.0,3.74100433206613,3.74100433206613,0,,,
AAPL-US,2020-09-30,,4.9570394404567,4.9570394404567,0,,,
AAPL-US,2021-09-30,,5.5635124425424,5.5635124425424,0,,,
AAPL-US,2022-09-30,,6.96153694347963,6.96153694347963,0,,,
AAQC-US,2020-12-31,0.006,1.25,1.25,0,,,
AAQC-US,2021-12-31,0.353466,1.08512318878065,1.08512318878065,0,,,
AAT-US,2019-12-31,,2.1236752397602,2.1236752397602,0,,,
AAT-US,2020-12-31,,2.21583760800729,2.21583760800729,0,,,
AAT-US,2021-12-31,,2.43584720782848,2.43584720782848,0,,,
AAT-US,2022-12-31,,2.44654599943501,2.44654599943501,0,,,
AATI-US,2007-12-31,8.253,1.12192051674921,1.12192051674921,0,,,
AATI-US,2008-12-31,3.601,1.08435456938273,1.08435456938273,0,,,
AATI-US,2009-12-31,3.616,1.114305187429,1.114305187429,0,,,
AATI-US,2010-12-31,4.446,1.13451888658244,1.13451888658244,0,,,
AATT-US,1996-12-31,8.682,2.73297448301707,2.73297448301707,0,,,
AATT-US,1997-12-31,10.501,2.19767926212437,2.19767926212437,0,,,
AATT-US,1998-12-31,11.136,1.80914072682934,1.80914072682934,0,,,
AATT-US,1999-12-31,22.383,2.87743816609692,2.87743816609692,0,,,
AAWW-US,2019-12-31,455.368,3.00507984972483,3.00507984972483,0,,,
AAWW-US,2020-12-31,541.495,2.66596684823919,2.66596684823919,0,,,
AAWW-US,2021-12-31,583.362,2.29351017695634,2.29351017695634,0,,,
AAWW-US,2022-12-31,512.373,2.18492836018032,2.18492836018032,0,,,
AB-US,2019-12-31,,1.00201658655334,1.00201658655334,0,,,
AB-US,2020-12-31,,1.00205023001135,1.00205023001135,0,,,
AB-US,2021-12-31,,1.00220900699611,1.00220900699611,0,,,
AB-US,2022-12-31,,1.00143750289625,1.00143750289625,0,,,
ABAN-US,1996-12-31,,11.26641733692,11.26641733692,0,,,
ABAN-US,1997-12-31,,13.8077934367099,13.8077934367099,0,,,
ABAN-US,1998-12-31,,16.5954716155613,10.4213755838447,0,,,
ABAN-US,1999-12-31,,,,0,,,
ABAX-US,2015-03-31,19.687,1.22194065233385,1.22194065233385,0,,,
ABAX-US,2016-03-31,16.565,1.14839703442906,1.14839703442906,0,,,
ABAX-US,2017-03-31,20.512,1.14807830999459,1.14807830999459,0,,,
ABAX-US,2018-03-31,27.414,1.17341318848407,1.17341318848407,0,,,
ABB-US,2019-12-31,2311.0,3.40884222977968,3.40884222977968,0,,,
ABB-US,2020-12-31,2476.0,2.61957284029327,2.61957284029327,0,,,
ABB-US,2021-12-31,2678.0,2.5842480261891,2.5842480261891,0,,,
ABB-US,2022-12-31,2715.0,3.06394302261877,3.06394302261877,0,,,
ABBC-US,2007-12-31,,4.32189698772055,4.32189698772055,0,,,
ABBC-US,2008-12-31,,4.97813718097333,4.97813718097333,0,,,
ABBC-US,2009-12-31,,5.75865700198896,5.75865700198896,0,,,
ABBC-US,2010-12-31,,5.86790155717172,5.86790155717172,0,,,
ABBK-US,2000-12-31,,21.2286547150561,21.2286547150561,0,,,
ABBK-US,2001-12-31,,19.6604173584327,19.6604173584327,0,,,
ABBK-US,2002-12-31,,15.632052613361,15.632052613361,0,,,
ABBK-US,2003-12-31,,13.9042152129783,13.9042152129783,0,,,
ABBV-US,2019-12-31,8442.0,,-10.904919236417,0,,,
ABBV-US,2020-12-31,15233.0,11.5146069134292,11.5146069134292,0,,,
ABBV-US,2021-12-31,17074.0,9.50992990654206,9.50992990654206,0,,,
ABBV-US,2022-12-31,18051.0,8.04480120551756,8.04480120551756,0,,,
ABC-US,2019-09-30,1057.208,13.7064104314226,13.7064104314226,0,,,
ABC-US,2020-09-30,1554.176,,-43.4525342420043,0,,,
ABC-US,2021-09-30,2681.053,256.712684796332,256.712684796332,0,,,
ABC-US,2022-09-30,2214.592,,-267.351500054358,0,,,
ABCB-US,2019-12-31,,7.41795777585033,7.41795777585033,0,,,
ABCB-US,2020-12-31,,7.75798235646114,7.75798235646114,0,,,
ABCB-US,2021-12-31,,8.08575466104109,8.08575466104109,0,,,
ABCB-US,2022-12-31,,7.86837023831863,7.86837023831863,0,,,
ABCD-US,2014-12-31,12.313,,-2.28587036173473,0,,,
ABCD-US,2015-12-31,14.224,,-1.90625463468565,0,,,
ABCD-US,2016-12-31,11.72,,-2.15370049949398,0,,,
ABCD-US,2017-12-31,12.121,,-11.0938986845788,0,,,
ABCL-US,2019-12-31,,8.6790444655557,2.29103866018347,0,,,
ABCL-US,2020-12-31,27.143,1.2107481204275,1.2107481204275,0,,,
ABCL-US,2021-12-31,26.541,1.2854894987292,1.2854894987292,0,,,
ABCL-US,2022-12-31,25.801,1.24944112312157,1.24944112312157,0,,,
ABCM-US,2019-06-30,40.34459,1.16086278586279,1.16086278586279,0,,,
ABCM-US,2020-06-30,38.18004,1.61440509351373,1.61440509351373,0,,,
ABCM-US,2021-12-31,38.060045,1.50297210791038,1.50297210791038,0,,,
ABCM-US,2022-12-31,43.66527,1.45356995460173,1.45356995460173,0,,,
ABCO-US,2013-03-31,21.033,3.20067513547126,3.20067513547126,0,,,
ABCO-US,2014-12-31,32.073,3.51933285632602,3.51933285632602,0,,,
ABCO-US,2015-12-31,41.173,4.51896608927812,4.51896608927812,0,,,
ABCO-US,2016-12-31,25.521,4.04097330207874,4.04097330207874,0,,,
ABCW-US,2012-03-31,,,-94.3976988155668,0,,,
ABCW-US,2013-12-31,,10.4475514100041,10.4475514100041,0,,,
ABCW-US,2014-12-31,7.259,9.18757988781664,9.18757988781664,0,,,
ABCW-US,2015-12-31,6.577,6.15698189782376,6.15698189782376,0,,,
ABDC-US,2015-12-31,0.271801,1.58257155275751,1.58257155275751,0,,,
ABDC-US,2016-12-31,0.282165,1.56184086596892,1.56184086596892,0,,,
ABDC-US,2017-12-31,0.447589,1.96764907149278,1.96764907149278,0,,,
ABDC-US,2018-12-31,0.535096,1.74056255758302,1.74056255758302,0,,,
ABEO,2009-12-31,0.857,,-0.101295097132285,0,,,
ABEO,2010-12-31,0.857,,-0.42178408271219,0,,,
ABEO,2011-12-31,0.857,,-0.21498352834261,0,,,
ABEO,2012-12-31,0.857,,-0.10131178261888,1,,,
ABEO-US,2019-12-31,5.543,1.25193072913748,1.25193072913748,0,,,
ABEO-US,2020-12-31,3.41,1.47436885062067,1.47436885062067,0,,,
ABEO-US,2021-12-31,5.585,1.54911922141119,1.54911922141119,0,,,
ABEO-US,2022-12-31,3.991,2.39953663913905,2.39953663913905,0,,,
ABEV-US,2019-12-31,108.245954209858,1.69892386381578,1.69892386381578,0,,,
ABEV-US,2020-12-31,114.934734896617,1.74654227692813,1.74654227692813,0,,,
ABEV-US,2021-12-31,199.040754039502,1.7269428198973,1.7269428198973,0,,,
ABEV-US,2022-12-31,227.68142430986,1.71964113802892,1.71964113802892,0,,,
ABF-US,1999-12-31,141.269,1.91474784055595,1.91474784055595,0,,,
ABF-US,2000-12-31,151.959,2.02342108465501,2.02342108465501,0,,,
ABF-US,2001-12-31,218.819,2.09399484066477,2.09399484066477,0,,,
ABF-US,2002-12-31,211.174,2.23923838396116,2.23923838396116,0,,,
ABG-US,2019-12-31,106.6,4.57233482902677,4.57233482902677,0,,,
ABG-US,2020-12-31,126.4,4.17758144671452,4.17758144671452,0,,,
ABG-US,2021-12-31,242.7,3.86078941148665,3.86078941148665,0,,,
ABG-US,2022-12-31,219.8,2.76266574823489,2.76266574823489,0,,,
ABGI-US,2020-12-31,0.202,1697.62921348315,1697.62921348315,0,,,
ABGI-US,2021-12-31,0.18073,1.03745083224068,1.03745083224068,0,,,
ABGX-US,2002-12-31,8.907,1.3995053512156,1.3995053512156,0,,,
ABGX-US,2003-12-31,13.974,1.88901398493037,1.52157666556802,0,,,
ABGX-US,2004-12-31,15.281,3.51635694970254,2.89229663266831,0,,,
ABGX-US,2005-12-31,30.485,24.3485977459093,8.49192958629336,0,,,
ABHB-US,2008-12-31,,,,0,,,
ABHB-US,2009-12-31,6.988,,5.47033337345048,0,,,
ABHB-US,2010-12-31,13.141,1.35480012395414,1.35480012395414,0,,,
ABII-US,2006-12-31,28.89,1.20351381177225,1.20351381177225,0,,,
