,fsym_id,Implosion_Start_Date,Implosion_End_Date
240,X2Y52B-R,,
241,X58L69-R,,
242,BGSNSG-R,,
243,BY89LN-R,,
244,BZ0W07-R,,
245,C1F24H-R,,
246,CD9D7T-R,,
247,CR41T6-R,,
248,CRNBH3-R,,
249,D0MVKD-R,,
250,D18900-R,,
251,DPP750-R,,
252,FNNDYN-R,,
253,G901LD-R,,
254,GFL4QW-R,,
255,GHWGMP-R,,
256,GV407P-R,,
257,GZPJ4H-R,,
258,HD33NF-R,,
259,HJLW6L-R,,
260,HVS4HG-R,,
261,JBPG7B-R,,
262,JCFJMC-R,,
263,JTCBT7-R,2001-11-16,2004-10-15
264,L0V3KJ-R,,
265,L7QPXZ-R,,
266,L9RR54-R,,
267,LSHTY3-R,,
268,LTM2DD-R,,
269,LYJKGS-R,,
270,MP03DY-R,,
271,MXVP2N-R,,
272,NK5CYJ-R,,
273,NMFB71-R,,
274,NPNZ1D-R,,
275,P8712C-R,,
276,QX1YH3-R,,
277,R02D69-R,,
278,S24JQQ-R,,
279,T1V6SV-R,,
280,T8HZ3W-R,,
281,TRD8YT-R,,
282,VGY2QM-R,,
283,VH60BK-R,,
284,VT398T-R,,
285,VT3DBS-R,,
286,VXQWN3-R,,
287,WCPG8P-R,,
288,WW43K8-R,,
289,WYFR9M-R,2021-02-26,2023-03-31
290,B4Q7Y8-R,,
291,B5K7NT-R,2015-05-01,2023-03-31
292,BGYGYZ-R,,
293,BHTCHG-R,,
294,BQNJ7P-R,,
295,C67N6N-R,,
296,G6RN78-R,,
297,HH3Z0W-R,,
298,J78PYH-R,,
299,JJ13QB-R,,
300,JNTDDC-R,,
301,JS30TB-R,,
302,JZZ7GF-R,,
303,KH25G3-R,,
304,KXV07D-R,,
305,L429NK-R,,
306,LG9KBX-R,,
307,M75128-R,,
308,M9LY3S-R,,
309,MFMN1X-R,,
310,MNXGCG-R,,
311,N2HZG7-R,,
312,NDKNMG-R,,
313,PC7L3S-R,,
314,PHJ97B-R,,
315,PVWM5Z-R,,
316,QLLHYV-R,,
317,QVJWKS-R,,
318,R2H9DY-R,,
319,RGN2CX-R,,
320,SX4L15-R,,
321,T8NBFZ-R,,
322,TG9B66-R,,
323,TJ72DJ-R,,
324,V9CM65-R,,
325,VMHW4P-R,,
326,VMQN21-R,,
327,VR49L6-R,,
328,WQL3MY-R,,
329,WSH7NP-R,,
330,XKT23W-R,,
331,BM9W61-R,,
332,BNFMGN-R,,
333,DNY1KW-R,,
334,FQDXKG-R,,
335,FY9LTQ-R,,
336,G3H60B-R,,
337,G6M9Z6-R,,
338,G92FS8-R,,
339,GN5T62-R,,
340,GYF76M-R,,
341,GZJ3G1-R,,
342,HVP7ZR-R,,
343,K1HJ8F-R,,
344,KNGM8Q-R,,
345,KQMVJV-R,,
346,KRLX28-R,,
347,LBZ9G1-R,,
348,MSMVV4-R,,
349,NFMTWL-R,,
350,PD98GG-R,,
351,PTM1X0-R,,
352,Q2TTMY-R,,
353,Q7CHYZ-R,,
354,QGY8Q9-R,,
355,QR5GDS-R,,
356,QTKSJX-R,,
357,R95W9R-R,,
358,RMHK3W-R,,
359,RNC5TS-R,,
360,RYMVFQ-R,,
361,S1167H-R,,
362,SGJ26N-R,,
363,SP9T4F-R,,
364,SR80B9-R,,
365,SW0QKG-R,,
366,T0BG8M-R,,
367,T4332F-R,2010-04-16,2013-07-19
368,TBRTBF-R,,
369,TBXF3R-R,,
370,TCGK12-R,,
371,TP07RB-R,,
372,VK7P8T-R,,
373,VM6ZQW-R,,
374,VMHSN8-R,,
375,VSSJNN-R,,
376,WMVYHB-R,,
377,WNF604-R,,
378,WZVR2S-R,,
379,X3F75V-R,,
380,X56D07-R,,
381,XJ57TT-R,,
382,XJKC9K-R,,
383,XJKKPR-R,,
384,B3L9DL-R,,
385,B5NSSH-R,,
386,BCCKDW-R,,
387,BK884M-R,,
388,C9W90B-R,2014-04-11,2023-03-31
389,CD44M8-R,,
390,CHLVZ8-R,,
391,CSRNZB-R,,
392,CY7VQ7-R,,
393,DYQRZ2-R,,
394,FJ1MMN-R,,
395,FJ8P28-R,,
396,GNC1YR-R,,
397,GPB9S8-R,,
398,GY18NN-R,,
399,HF1BCV-R,,
400,J4TKR1-R,,
401,J9GQ7X-R,,
402,JGZM69-R,,
403,JN55TC-R,,
404,K5SNKR-R,,
405,KNBNR0-R,,
406,LRDGCV-R,,
407,LSRVX9-R,,
408,LWFSNQ-R,,
409,M0JM9H-R,,
410,NCBY9P-R,,
411,NT38T5-R,,
412,P6FZQB-R,,
413,P9ZMV7-R,,
414,PTXDKM-R,,
415,QWYFXY-R,,
416,QYY49K-R,,
417,R967MQ-R,,
418,RY7TNL-R,,
419,RYLHWG-R,,
420,RYRC40-R,,
421,S242BS-R,,
422,SPGL7X-R,,
423,T9SGFY-R,,
424,TZNR6N-R,,
425,V5L1LG-R,,
426,V8711H-R,,
427,V98JXW-R,,
428,VBDFGM-R,,
429,VGYFTC-R,,
430,VHTJ1C-R,2017-09-29,2023-03-31
431,VZST5Q-R,,
432,W92X0G-R,,
433,WQQBZ5-R,,
434,WW31J8-R,,
435,X9XVBP-R,,
436,XLKJ34-R,,
437,B82071-R,,
438,B82VFF-R,,
439,C7MTN8-R,2008-10-10,2023-03-31
440,CGKHZM-R,2001-09-28,2023-03-31
441,CSS5YT-R,,
442,D5HX9T-R,,
443,DLJ1SR-R,,
444,F188FH-R,,
445,FGX8V3-R,,
446,GHP4KR-R,,
447,GZLPRV-R,,
448,H2VZYX-R,2010-12-03,2016-11-11
449,HHLJLB-R,,
450,HT9PFF-R,,
451,J4TRBG-R,,
452,J67B63-R,,
453,JPTJC5-R,,
454,KB791X-R,,
455,KQL5QN-R,,
456,KYL4MC-R,2019-03-01,2021-07-09
457,L7MR96-R,,
458,M0GKCK-R,,
459,M3QP7G-R,,
460,M5T9RC-R,,
461,N75G2X-R,,
462,NBDCYZ-R,,
463,NJNRD3-R,,
464,NQTHTR-R,,
465,NYL5QJ-R,,
466,P0SRHW-R,,
467,PSQ5KP-R,,
468,QQ164P-R,,
469,R2HBGZ-R,,
470,RJMXG2-R,,
471,RVWJZX-R,,
472,S1NPJX-R,,
473,S6PS38-R,,
474,TXLLSC-R,,
475,V03W4X-R,,
476,V1C1QH-R,,
477,V5WMVF-R,,
478,VBN9H0-R,,
479,VSC82Y-R,,
480,VYPMC0-R,,
481,WFLSTR-R,,
482,X32JDF-R,,
483,X8QPGT-R,,
484,XGHHHM-R,,
485,XMV7WF-R,,
486,XQC337-R,,
487,B04CB3-R,,
488,B3XV10-R,,
489,B4NT5X-R,,
490,B5PCCJ-R,,
491,BGS1LW-R,,
492,BGVFTS-R,,
493,CLZCDG-R,,
494,CY7RBZ-R,,
495,CZ9VBX-R,,
496,DJRRBX-R,,
497,F32VLV-R,,
498,FBHRBW-R,,
499,FPPSQ1-R,,
500,GT2KMH-R,,
501,GX9RG8-R,,
502,H0996C-R,,
503,H2ZGL5-R,,
504,J878GC-R,,
505,KK1GV3-R,,
506,KM84B2-R,,
507,KNJG1Q-R,,
508,KQQR0J-R,,
509,L453JQ-R,,
510,L8QBS4-R,,
511,LF4WPT-R,,
512,LQV1JW-R,,
513,M287Z6-R,,
514,MYL85W-R,,
515,N3CXK7-R,,
516,NXCYQL-R,,
517,P8SKDQ-R,,
518,PD62CG-R,2003-01-24,2008-09-25
519,PGMSSJ-R,,
520,QKPQPH-R,,
521,QQPZV7-R,,
522,QR9BTF-R,,
523,QV6CS5-R,,
524,RBDXWG-R,,
525,SD84W1-R,,
526,SKS46R-R,,
527,SYW05K-R,,
528,T0LY9F-R,,
529,T1XQ1P-R,,
530,T60V8R-R,,
531,TL6R4J-R,,
532,TTNM2T-R,,
533,W7YPWF-R,,
534,WGLV0W-R,,
535,WRNGSS-R,,
536,WW3Y73-R,,
537,XLVTWX-R,,
538,XM7NVD-R,,
539,B5Q94D-R,,
540,CB04BY-R,,
541,CJPFQH-R,,
542,D62V37-R,,
543,DJBP18-R,,
544,F2JNKG-R,,
545,F443CC-R,,
546,G24Z3C-R,,
547,GDS8FP-R,,
548,H0LD9N-R,,
549,H8PG48-R,,
550,HD2T24-R,,
551,J09Z2M-R,,
552,J5X7K7-R,,
553,J9BCZV-R,,
554,JBVHBK-R,,
555,JFPCPS-R,,
556,JG0QBD-R,,
557,KW8GPW-R,,
558,L15PD3-R,,
559,L87C51-R,,
560,LG1JP0-R,,
561,LN6LV2-R,,
