Ticker,date,FF_PRICE_CLOSE_FP,ff_debt_entrpr_val,ff_tot_debt_tcap_std,ff_fix_assets_com_eq,ff_debt_eq,ff_debt_com_eq,ff_inven_curr_assets,ff_ltd_com_eq,ff_liabs_lease,ff_ltd_tcap,ff_sales_wkcap,ff_bps_gr,ff_oper_inc_tcap,ff_assets_gr,ff_fcf_yld,ff_mkt_val_gr,ff_earn_yld,ff_pbk_tang,ff_zscore,ff_entrpr_val_sales,ff_psales_dil,Implosion_Next_Year,CPI,Unemployment Rate
ABVT-US,2011-12-31,65.01,0.0335155,7.98182076409601,94.3818490507794,8.67417811390647,8.67417811390647,0.0,8.64330915264701,1.0,7.95341570799602,8.51351351351351,15.2311015602893,16.7731856270416,11.3023522662077,3.38927,13.169,4.16859,2.63443,4.6049,3.54886,3.69045,0,0.000237708,8.5
ACA-US,2022-12-31,54.34,0.191752,21.1863183720595,56.4685954953305,26.8815235304889,26.8815235304889,36.8580765639589,25.9018494781176,42.7,20.414201183432,4.58556532406461,11.6002105784255,5.77283879347669,4.78341331827734,1.00551,3.32544,9.28855,2.71196,2.58534,1.36539,1.17509,0,0.001312802,3.5
ACAD-US,2022-12-31,15.92,0.0279384,13.4079275452896,15.3826174474855,15.4840127568286,15.4840127568286,1.30646123436568,13.1601621325981,52.695,11.3956571290167,1.35293102140426,-26.4525962022189,-48.3541768938157,-16.0414899117582,-4.12274,-31.3452,-8.3907,6.44353,3.02133,4.29045,4.97645,0,0.001312802,3.5
ACAT-US,2016-03-31,16.8,0.0,0.0,48.680633964789,0.0,0.0,61.125882460805,0.0,0.0,0.0,6.02659569403049,-7.82702715121197,-13.5969078385337,0.33076005378007,-11.3446,-53.4282,-4.22619,1.35888,3.77688,0.316934,0.344948,0,0.003134796,5.0
ACB,2018-06-30,84.8378915686648,0.0457493,11.5344140496509,15.8062941069661,13.0383062925029,13.0383062925029,19.6701836156907,12.88104665241,0.187008248128017,11.3952933877,0.395498179394271,374.567982235741,-6.21090104205466,484.601510559886,-5.16492,558.819,1.78175,9.21607,9.11625,77.7053,76.6836,1,0.000901145,4.0
ACET-US,2022-12-31,8.94,0.160942,6.70887570565578,16.7542365344225,7.19133331965054,7.19133331965054,0.0,6.33889538821501,18.531,5.91362677550812,0.103550724937948,-10.7845681925436,-23.1525301489337,-2.43348340994518,-16.2412,-44.7458,-19.0034,1.40729,5.22692,5.22708,14.6962,0,0.001312802,3.5
ACHC-US,2022-12-31,82.32,0.169888,35.3880013543879,74.2085172147883,54.7700150067888,54.7700150067888,1.00508767596937,53.038492537669,127.287,34.2692300800917,22.1597721542628,10.6271251474231,10.2508052589578,4.61030629113029,1.1201,36.9667,3.62403,14.4035,3.01748,3.47378,2.88722,0,0.001312802,3.5
ACHV,2013-12-31,18348.00018348,0.0,0.0,1.06688882319744,0.0,0.0,0.0,0.0,0.0,0.0,0.767523694552179,-43.9907475653896,-94.9369810002419,-32.0998341786968,-29.5273,-36.2119,-26.0192,3.29644,-0.0962762,2.78554,4.0981,1,0.002644169,6.7
ACIA-US,2020-12-31,72.96,0.00816491,3.09915933065869,8.0130318151335,3.19827909567273,3.19827909567273,6.50039021852237,2.57155279220705,18.099,2.49185627390456,1.28282583984328,19.0995005421417,12.627387701941,19.4752177781684,3.91199,9.92456,2.86568,4.38724,13.279,4.7252,5.40625,0,0.004685349,6.7
ACIL20-US,1998-06-30,1.86,0.532697,48.8592752373068,5.94757187269437,95.5388796751146,95.5388796751146,55.1503678163079,95.4759457431312,0.6762756,48.8270903685392,77.4282953598166,-2.29467453376083,-6.10033776278457,-30.8726999998236,-25.6142,-32.852,32.9516,1.01374,-0.0285948,1.41911,0.71444,0,0.001230012,4.5
ACIU-US,2022-12-31,2.04,0.0738733,1.63046012509872,4.18187950837618,1.65748471812108,1.65748471812108,0.0,1.3332070938689,2.43514915693904,1.31146971147712,0.0326889077717323,-28.3798981595937,-40.7077179140494,-29.9601201574963,-45.9526,-58.7181,-43.4608,1.33102,3.13179,9.94668,41.3702,0,0.001312802,3.5
ACLA-US,2003-12-31,3.65,0.0128661,0.567771887449418,6.18020064357373,0.571013944097419,0.571013944097419,3.01376131794855,0.401707783877006,0.0,0.399427000010456,0.0170544208485504,-15.7188103946221,-22.5299831655113,-16.7443112060411,-13.9685,71.895,-15.3425,1.36135,17.6613,27.8941,85.9595,0,0.002702703,5.7
ACLI-US,2009-12-31,18.33,0.598552,66.9478012024265,310.708716806378,202.55173222346,202.55173222346,23.7127042315069,202.484905328566,0.0,66.9257134442759,24.1053936233866,-14.3899839150305,11.1155674131941,-10.9556185868024,41.2403,369.671,-5.18276,1.77204,2.02829,0.682344,0.275342,0,0.000520176,9.9
