,precision,recall,f1-score,support
0,0.784,0.89,0.8320000000000001,339.2
1,0.09,0.026000000000000002,0.027999999999999997,75.8
2,0.0,0.0,0.76,415.0
3,0.43800000000000006,0.458,0.43200000000000005,415.0
4,0.684,0.76,0.714,415.0
